Priority,NameIntent,Text,AudioRU_M,AudioKZ_M,AudioRU_F,AudioKZ_F,Intents,Next_audio,Duration_waiting,Finished,Language,BadRU_M,BadKZ_M,BadRU_F,BadKZ_F,OtherRU_M,OtherKZ_M,OtherRU_F,OtherKZ_F,Interrupting_strategy,reload_template,repeat,asr
71,utter_arestLimitsRU,"Поняла Вас, тогда для закрытия карты обратитесь пожалуйста в  любое отделение Банка.",-,-,76_testtest_F_R,76_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
72,utter_arestLimitsKZ,"Сізді түсіндім, онда картаны жабу үшін банктың кез келген бөлімшесіне жүгініңіз",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
73,utter_howReissueCardRU,А перевыпустить карту можно в отделении Банка или в приложении Halyk.,-,-,77_testtest_F_R,77_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
74,utter_howReissueCardKZ,Картаны Банк бөлімшесінде немесе Halyk қосымшасында қайта шығаруға болады.,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
75,utter_q12RU,"Давайте подскажу, как это сделать в приложении, согласны?",-,-,78_testtest_F_R,78_testtest_F_K,-,146,6,-,AudioRU,-,-,79_testtest_F_R,79_testtest_F_K,-,-,79_testtest_F_R,79_testtest_F_K,ASR,no,3,default_kz
76,utter_q12KZ,"Мұны қосымшада қалай жасау керектігін айтайын, жарай ма?",-,-,-,-,-,146,6,-,AudioKZ,-,-,79_testtest_F_R,79_testtest_F_K,-,-,79_testtest_F_R,79_testtest_F_K,ASR,no,3,default_kz
77,utter_justUnlockRU,"Если карта заблокирована по причине утери, кражи, мошеннических действий или истек срок годности, то разблокировать ее нельзя, только перевыпустить.",-,-,80_testtest_F_R,80_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
78,utter_justUnlockKZ,"Егер карта жоғалуына, ұрлануына, алаяқтық әрекеттерге байланысты, немесе жарамдылық мерзімі өтіп кетуінен бұғатталған болса, онда оны бұғаттан шығару мүмкін емес, тек қайта шығару керек.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
79,utter_cardReplacementOptionsRU,"К сожалению, нет, старая карта будет не действительна, можете также заказать доставку новой карты в приложении, или перевыпустить ее в отделении Банка.",-,-,81_testtest_F_R,81_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
80,utter_cardReplacementOptionsKZ,"Өкінішке орай, жоқ, ескі карта жарамсыз болып қалады, сонымен қатар қосымшада жаңа картаны жеткізуге тапсырыс бере аласыз немесе оны Банк бөлімшесінде қайта шығара аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
81,utter_q14RU,"Хорошо, попробуйте перевыпустить карту после нашего разговора, а если будут вопросы, можете перезвонить к нам, согласны?",-,-,82_testtest_F_R,82_testtest_F_K,-,146,6,-,AudioRU,-,-,83_testtest_F_R,83_testtest_F_K,-,-,83_testtest_F_R,83_testtest_F_K,ASR,no,3,default_kz
82,utter_q14KZ,"Жақсы, әңгімемізден кейін картаны қайта шығарып көріңіз, егер сұрақтар туындаса, бізге қайта қоңырау шалуыңызға болады. Айтқандарыммен келісесіз бе?",-,-,-,-,-,146,6,-,AudioKZ,-,-,83_testtest_F_R,83_testtest_F_K,-,-,83_testtest_F_R,83_testtest_F_K,ASR,no,3,default_kz
83,utter_veryGoodRU,Отлично!,-,-,84_testtest_F_R,84_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
84,utter_veryGoodKZ,Өте жақсы!,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
85,utter_q15RU,"Скажите пожалуйста, вы оформили денежный кредит или товарный кредит или рассрочку?",-,-,85_testtest_F_R,85_testtest_F_K,-,146,6,-,AudioRU,-,-,86_testtest_F_R,86_testtest_F_K,-,-,86_testtest_F_R,86_testtest_F_K,ASR,no,3,default_kz
86,utter_q15KZ,"Айтыңызшы, сіз ақшалай кредитті немесе тауарлық кредитті әлде бөліп төлеуді ресімдедіңіз бе?",-,-,-,-,-,146,6,-,AudioKZ,-,-,86_testtest_F_R,86_testtest_F_K,-,-,86_testtest_F_R,86_testtest_F_K,ASR,no,3,default_kz
87,utter_brunchAddressRU,"Вы можете подойти в любое отделение Банка, а подобрать ближайший для себя адрес можете на сайте halykbank.kz, в разделе ""Банк на карте""",-,-,87_testtest_F_R,87_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
88,utter_brunchAddressKZ,"Сіз Банктің кез келген бөлімшесіне бара аласыз, ал halykbank.kz сайтынан ""Картадан Банк"" бөлімінде өзіңізге жақын мекенжайда орналасқан банк бөлімшесін таңдай аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
89,utter_callCenterRU,"Вы можете посмотреть номер продавца в приложении Halyk, просто нажмите на детали заказа.",-,-,88_testtest_F_R,88_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
90,utter_callCenterKZ,"Сіз сатушының нөмірін Halyk қосымшасындағы тапсырыс туралы мәліметтерге басып, оңай көре аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
91,utter_cashLoanRU,"Таак, если вы оформили денежный кредит, то отменить его нужно в тот же день, подав заявление в любом отделении банка.",-,-,89_testtest_F_R,89_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
92,utter_cashLoanKZ,"сонымен, егер сіз ақшалай кредит ресімдеген болсаңыз, онда банктің кез келген бөлімшесінде өтініш беру арқылы одан сол күні бас тарту қажет",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
93,utter_commodityLoanRU,"Тааак, если вы оформили товар в кредит или рассрочку, то нужно позвонить в магазин, в котором Вы покупали, так как кредит можно аннулировать только по запросу магазина.",-,-,90_testtest_F_R,90_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
94,utter_commodityLoanKZ,"Сонымен, егер сіз тауарды кредитке немесе бөліп төлеуге ресімдеген болсаңыз, онда сіз тауар сатып алған дүкенге қоңырау шалуыңыз керек, себебі тек дүкеннің сұрау салуы бойынша ғана кредиттің күшін жоюға болады.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
95,utter_bothLoansRU,"Если вы хотите отменить товарный кредит или рассрочку, то нужно позвонить в магазин, в котором Вы покупали, так как кредит можно аннулировать только по запросу магазина. А если денежный, то отменить его нужно в тот же день, подав заявление в любом отделении банка.",-,-,91_testtest_F_R,91_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
96,utter_bothLoansKZ,"Егер сіз тауарлық кредиттің немесе бөліп төлеудің күшін жойғыңыз келсе, онда сіз тауар сатып алған дүкенге қоңырау шалуыңыз керек, себебі тек дүкеннің сұрау салуы бойынша ғана кредиттің күшін жоюға болады. Егер ақшалай кредит болса, оны сол күні, банктің кез келген бөлімшесіне өтініш беру арқылы жою керек.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
97,utter_dontKnowTypeLoanRU,"Мхм, можете посмотреть информацию по кредиту в приложении Halyk, в разделе ""Счета"", далее ""Кредиты"", Если это товарный, то нужно позвонить в магазин, в котором Вы покупали, только они запрашивают аннулирование кредита. А если денежный кредит, то отменить его нужно в тот же день, по заявлению в отделении банка.",-,-,92_testtest_F_R,92_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
98,utter_dontKnowTypeLoanKZ,"Мхм, сіз Halyk қосымшасында кредит бойынша ақпаратты ""Шоттар"" бөлімінен, әрі қарай ""Кредиттер"" бөлімінен көре аласыз. Егер бұл тауарлық кредит болса, онда Сіз тауар сатып алған дүкенге қоңырау шалуыңыз қажет, тек солар ғана кредитті жою бойынша сұрау сала алады. Егер ақшалай кредит болса, оны сол күні банк бөлімшесіне өтініш беру арқылы жоюыңыз қажет.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
99,utter_returnedTheProductRU,"Смотрите, если в течении 14 дней вы возвращаете товар продавцу, он должен отправить запрос на аннулирование кредита или рассрочки в Банк, а если продавец этого не сделал, то Вы можете обратиться в отделение банка для подачи заявления.",-,-,93_testtest_F_R,93_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
100,utter_returnedTheProductKZ,"Қараңызшы, егер сіз 14 күн ішінде тауарды сатушыға қайтарсаңыз, ол банкке кредитті немесе бөліп төлеуді жоюға сұрау салуды жіберуі керек, ал егер сатушы мұны істемеген болса, онда сіз өтініш беру үшін банк бөлімшесіне хабарласа аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
101,utter_whyRefusedRU,"Мхм, причину отказа, вы можете узнать в приложении Halyk, в разделе ""Гос. услуги""",-,-,94_testtest_F_R,94_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
102,utter_whyRefusedKZ,"Ммм, бас тарту себебін сіз Halyk қосымшасында ""мемлекеттік қызметтер"" бөлімінен біле аласыз,",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
103,utter_nextRU,"Смотрите, все детали можете посмотреть в приложении Halyk, в разделе "" Гос. Услуги""",-,-,95_testtest_F_R,95_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
104,utter_nextKZ,"Қараңыз, толығырақ Халық қосымшасында,Мемлекеттік қызметтер бөлімінен көре аласыз",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
105,utter_whenApprovalComeRU,"К сожалению, не могу подсказать подробно, так как заявки обрабатываются в eGov. Вы можете сами проверить статус заявки в приложении Halyk, в разделе ""Гос. услуги""",-,-,96_testtest_F_R,96_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
106,utter_whenApprovalComeKZ,"Өкінішке орай, өтінімдерді өңдеу eGov-қа байланысты болғандықтан мен толық ақпарат бере алмаймын. Сондықтан Сіз Halyk қосымшасында ""мемлекеттік қызметтер"" бөлімінде өтінімнің қандай күйде екенін өзіңіз тексере аласыз,",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
107,utter_q16RU,хорошо?,-,-,97_testtest_F_R,97_testtest_F_K,-,146,6,-,AudioRU,-,-,98_testtest_F_R,98_testtest_F_K,-,-,98_testtest_F_R,98_testtest_F_K,ASR,no,3,default_kz
108,utter_q16KZ,жақсы ма?,-,-,-,-,-,146,6,-,AudioKZ,-,-,98_testtest_F_R,98_testtest_F_K,-,-,98_testtest_F_R,98_testtest_F_K,ASR,no,3,default_kz
109,utter_publicServicesStatusRU,"Тааак, Ваша заявка еще на рассмотрении у банка. Ожидайте пожалуйста ее завершения, а статус заявки можете посмотреть в приложении Halyk, в разделе ""Гос. услуги"" / Мхм, Ваша заявка уже завершена, подробности можете узнать в  приложении Halyk, в разделе ""Гос. услуги"" / Смотрите,  по техническим причинам ваша заявка не была рассмотрена, вы можете подать новую заявку чуть позже или подробности по заявки узнать в приложении Halyk, в разделе ""Гос. услуги""",-,-,"99_testtest_F_R, 100_testtest_F_R, 101_testtest_F_R","99_testtest_F_K, 100_testtest_F_K, 101_testtest_F_K",-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
110,utter_publicServicesStatusKZ,"Қаазір, сіздің өтініміңіз әлі банкте қаралынуда. Өтінімнің аяқталғанын күтіңіз, ал өтінім мәртебесін Халық қосымшасында, Мемлекеттік қызметтер бөлімінен көре аласыз / Мхм, сіздің өтініміңіз аяқталған, толығырақ Халық қосымшасында, Мемлекеттік қызметтер бөлімінен көре аласыз / Қараңыз, техникалық себептерге байланысты сіздің өтініміңіз қаралынбаған, сіз кейінірек жаңа өтінім қалдыра аласыз немесе өтінім туралы толық ақпаратты Халық қосымшасында Мемлекеттік қызметтер бөлімінен көре аласыз",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
111,utter_statusDeclinedRU,"Мхм, к сожалению по Вашей заявке пришел отказ со стороны гос.органов, чтобы узнать подробней позвоните пожалуйста в Единый контакт-центр 1414",-,-,102_testtest_F_R,102_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
112,utter_statusDeclinedKZ,"Мхм, өкінішке орай сіздің өтініміңіз мемлекеттік органдар тарапынан қабылданбады,  толығырақ ақпарат алу үшін 1414 Бірыңғай байланыс орталығына қоңырау шалыңыз",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
113,utter_failedIdentificationRU,"Как я уже говорила, вы не прошли идентификацию личности, поэтому я не могу проверить ваши данные, а сейчас",-,-,103_testtest_F_R,103_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
114,utter_failedIdentificationKZ,"Жаңа айтып өткендей сіз жеке басты сәйкестендіруден өтпедіңіз, сол үшін мен сіздің мәліметтеріңізді тексере алмаймын, ал қазір",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
115,utter_failedIdentUntrustedNumberRU,"Так как Ваш номер является не доверенным, вы не прошли идентификацию личности, вам нужно позвонить нам с подтвержденного номера или  можете перезвонить с доверенного номера, а сейчас",-,-,104_testtest_F_R,104_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
116,utter_failedIdentUntrustedNumberKZ,"Сіздің нөміріңіз сенімсіз болғандықтан, сіз жеке басты сәйкестендіруден өтпедіңіз, сізге расталған нөмірден хабарласу керек немесе сенімді нөмірден қайта қоңырау шала аласыз, ал қазір",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
117,utter_q17RU,"я могу подсказать как посмотреть статус Вашей заявки в приложении Halyk, согласны?",-,-,105_testtest_F_R,105_testtest_F_K,-,146,6,-,AudioRU,-,-,106_testtest_F_R,106_testtest_F_K,-,-,106_testtest_F_R,106_testtest_F_K,ASR,no,3,default_kz
118,utter_q17KZ,"мен сізге Halyk қосымшасында өтінім күйін қалай тексеруге болатындығын айтып бере аламын, жарай ма?",-,-,-,-,-,146,6,-,AudioKZ,-,-,106_testtest_F_R,106_testtest_F_K,-,-,106_testtest_F_R,106_testtest_F_K,ASR,no,3,default_kz
119,utter_aboutTrustedNumberRU,"Доверенный номер, это номер телефона, с которого вы регистрировались в приложении Halyk и он подтвержден в данных Halyk Банка, как Ваш мобильный.",-,-,107_testtest_F_R,107_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
120,utter_aboutTrustedNumberKZ,Сенімді нөмір - бұл сіз Halyk қосымшасында тіркелген телефон нөмірі және ол Сіздің ұялы телефоныңыз ретінде Halyk Банктің деректерінде расталған.,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
121,utter_q18RU,"Чтобы решить Ваш вопрос, можете позвонить нам с доверенного номера, зайти в приложение, или могу подсказать как сменить его, согласны?",-,-,108_testtest_F_R,108_testtest_F_K,-,146,6,-,AudioRU,-,-,109_testtest_F_R,109_testtest_F_K,-,-,109_testtest_F_R,109_testtest_F_K,ASR,no,3,default_kz
122,utter_q18KZ,"Мәселеңізді шешу үшін Сіз бізге сенімді нөмірден қоңырау шалып, қосымшаға кіре аласыз немесе оны қалай өзгерту керектігін айтып бере аламын, айтып берейін бе?",-,-,-,-,-,146,6,-,AudioKZ,-,-,109_testtest_F_R,109_testtest_F_K,-,-,109_testtest_F_R,109_testtest_F_K,ASR,no,3,default_kz
123,utter_changeTrustedNumberRU,"Сменить доверенный номер можно в банкомате Halyk Bank, для этого вставьте карту, введите PIN код, выберите «Дополнительные сервисы», затем нажмите на «Доверенный номер» и следуйте инструкции, или можете подойти в отделение банка и наш менеджер Вам поможет.",-,-,110_testtest_F_R,110_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
124,utter_changeTrustedNumberKZ,"Сіз Halyk Bank банкоматында сенімді нөмірді өзгерте аласыз, ол үшін картаны салыңыз, PIN кодын енгізіңіз, ""Қосымша сервистер"" тармағын таңдаңыз, содан кейін ""Сенімді нөмір"" батырмасын басып, нұсқауларды орындаңыз немесе банктің бөлімшесіне барсаңыз біздің менеджерлер сізге көмектеседі.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
125,utter_logInWithTrustedNumberRU,"Хорошо, Скажите, вы сейчас можете зайти в приложение,",-,-,111_testtest_F_R,111_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
126,utter_logInWithTrustedNumberKZ,"Жақсы, Айтыңызшы, сіз қазір қосымшаға кіре аласыз ба,",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
127,utter_checkInfoRU,"Сейчас проверю информацию, одну минуту (пауза 10 секунд)",-,-,112_testtest_F_R,112_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
128,utter_checkInfoKZ,"Қазір мен ақпаратты тексеремін, бір минут (пауза 10 секунд)",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
129,utter_repeat_questionRU,"Не могли бы повторите вопрос, по которому вы обращаетесь?",-,-,113_testtest_F_R,113_testtest_F_K,-,146,6,-,AudioRU,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
130,utter_repeat_questionKZ,Сіз сұраған сұрағыңызды қайталай аласыз ба?,-,-,-,-,-,146,6,-,AudioKZ,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
131,utter_silence3secRU,Тишина 3 секунд,-,-,114_testtest_F_R,114_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
132,utter_silence3secKZ,Тишина 3 секунд,-,-,114_testtest_F_R,114_testtest_F_K,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
133,utter_scoreRU,"Хорошо! Оцените пожалуйста мою работу, от 1 до 5, где 5 это отлично, а 1 очень плохо.",-,-,115_testtest_F_R,115_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
134,utter_scoreKZ,"Жарайды! Менің жұмысымды 1-ден 5-ке дейін бағалаңыз, бұл жерде 5 өте жақсы, ал 1 өте нашар.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
135,utter_goodByeRU,"Благодарим Вас за обращение! Всего доброго, до свидания!",-,-,116_testtest_F_R,116_testtest_F_K,-,-,0,OK,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
136,utter_goodByeKZ,Хабарласқаныңызға рахмет! Сау болыңыз!,-,-,-,-,-,-,0,OK,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
137,utter_interruptingRU,"Да,да Я вас слушаю / Вы что-то хотите сказать? / Да да / Слушаю вас / Мхм. Да. Говорите. / Я вас внимательно слушаю / Повторите пожалуйста. Не расслышала",-,-,"117_testtest_F_R, 118_testtest_F_R, 119_testtest_F_R, 120_testtest_F_R, 121_testtest_F_R, 122_testtest_F_R, 123_testtest_F_R","117_testtest_F_K, 118_testtest_F_K, 119_testtest_F_K, 120_testtest_F_K, 121_testtest_F_K, 122_testtest_F_K, 123_testtest_F_K",-,146,6,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
138,utter_interruptingKZ,"Иә, Иә. Сізді тыңдап тұрмын / Сіз бірдеңе айтқыңыз келді ме? / Иә, Иә / Сізді тыңдап тұрмын / Мхм, иә. Айта беріңіз / Сізді мұқият тыңдап тұрмын / Өтініш, қайталап жібересіз бе? Естімей қалдым",-,-,-,-,-,146,6,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
139,utter_silenceRU,Тишина,-,-,124_testtest_F_R,124_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
140,utter_silenceKZ,Тишина,-,-,124_testtest_F_R,124_testtest_F_K,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
141,utter_failedIdentificationFirstRU,"К сожалению, идентификация личности по голосу не пройдена / К сожалению, идентификация личности по цифровому коду не пройдена / К сожалению, идентификация личности по кодовому слову не пройдена",-,-,"125_testtest_F_R, 126_testtest_F_R, 127_testtest_F_R","125_testtest_F_K, 126_testtest_F_K, 127_testtest_F_K",-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
142,utter_failedIdentificationFirstKZ,"Өкінішке орай, жеке тұлғаны дауыспен растаудан өтпедіңіз, ал енді / Өкінішке орай, жеке тұлғаны цифрлық кодпен растаудан өтпедіңіз, ал енді / Өкінішке орай, жеке тұлғаны код сөзімен растаудан өтпедіңіз, ал енді",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
143,utter_successfulIdentificationRU,"Вы прошли успешно идентификацию личности, теперь",-,-,128_testtest_F_R,128_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
144,utter_successfulIdentificationKZ,"Сіз жеке басты сәйкестендіруді сәтті аяқтадыңыз, енді",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
145,utter_error_stateRU,"К сожалению, ничего не слышно, перезвоните пожалуйста. До свидания!",-,-,129_testtest_F_R,129_testtest_F_K,-,-,0,OK,AudioRU,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
146,utter_error_stateKZ,"Хм, ештеңе естілмейді, қайта қоңырау шалыңыз. Сау болыңыз!",-,-,-,-,-,-,0,OK,AudioKZ,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
